"datetime","stream_height_ft","date"
2019-03-01 00:00:00,0,2019-03-01
2019-03-01 12:00:00,0,2019-03-01
2019-03-02 00:00:00,0,2019-03-02
2019-03-02 12:00:00,0,2019-03-02
2019-03-03 00:00:00,0,2019-03-03
2019-03-03 12:00:00,0,2019-03-03
2019-03-04 00:00:00,0,2019-03-04
2019-03-04 12:00:00,0,2019-03-04
2019-03-05 00:00:00,0,2019-03-05
2019-03-05 12:00:00,0,2019-03-05
2019-03-06 00:00:00,0,2019-03-06
2019-03-06 12:00:00,0,2019-03-06
2019-03-07 00:00:00,0,2019-03-07
2019-03-07 12:00:00,0,2019-03-07
2019-03-08 00:00:00,0,2019-03-08
2019-03-08 12:00:00,0,2019-03-08
2019-03-09 00:00:00,0,2019-03-09
2019-03-09 12:00:00,0,2019-03-09
2019-03-10 00:00:00,0,2019-03-10
2019-03-10 12:00:00,0,2019-03-10
2019-03-11 00:00:00,0,2019-03-11
2019-03-11 12:00:00,0,2019-03-11
2019-03-12 00:00:00,0,2019-03-12
2019-03-12 12:00:00,0,2019-03-12
2019-03-13 00:00:00,0,2019-03-13
2019-03-13 12:00:00,0,2019-03-13
2019-03-14 00:00:00,NA,2019-03-14
2019-03-14 12:00:00,NA,2019-03-14
2019-03-15 00:00:00,0,2019-03-15
2019-03-15 12:00:00,0,2019-03-15
2019-03-16 00:00:00,0,2019-03-16
2019-03-16 12:00:00,0,2019-03-16
2019-03-17 00:00:00,0,2019-03-17
2019-03-17 12:00:00,0,2019-03-17
2019-03-18 00:00:00,NA,2019-03-18
2019-03-18 14:28:25,NA,2019-03-18
2019-03-18 16:06:41,NA,2019-03-18
2019-03-18 17:59:00,NA,2019-03-18
2019-03-18 20:59:30,NA,2019-03-18
2019-03-18 23:59:59,NA,2019-03-18
2019-03-19 00:00:00,0.0327272727272727,2019-03-19
2019-03-19 03:00:59,0.0334090909090909,2019-03-19
2019-03-19 07:04:02,0.0340909090909091,2019-03-19
2019-03-19 08:30:27,0.0347727272727273,2019-03-19
2019-03-19 12:11:22,0.0347727272727273,2019-03-19
2019-03-19 14:01:33,0.0306818181818182,2019-03-19
2019-03-19 15:01:56,0.0327272727272727,2019-03-19
2019-03-19 18:00:47,0.0340909090909091,2019-03-19
2019-03-19 21:01:32,0.0340909090909091,2019-03-19
2019-03-19 23:59:59,0.0340909090909091,2019-03-19
2019-03-20 00:00:00,0.0283333333333333,2019-03-20
